'CPU_freq,CPU_cores_percent,temperature,CPU_core_demand,RAM_demand,Time,CPU_freq,CPU_cores_percent,memory,CPU_cores_percent_used,instructions,cycles,time,temperature,CPU_core_demand,RAM_demand,cpi,swap'
600.0,40.0,47616.0,1.1,25.0,778.5583333,1200.0,1.2,30.0,1.025,49720606154.0,16663340727.0,13.582772885999999,50.0,1.1,25.0,0.335139533001438,0.0
600.0,40.0,47616.0,1.1,25.0,778.5583333,1200.0,1.2,35.0,1.053,50706017238.0,15513017792.0,12.313426865,50.0,1.1,25.0,0.305940372307022,1548.0
600.0,40.0,47616.0,1.1,25.0,778.5583333,1200.0,1.2,40.0,1.035,49683763859.0,15013775019.0,12.117940626,51.0,1.1,25.0,0.30218674779971005,0.0
600.0,40.0,47616.0,1.1,25.0,778.5583333,1200.0,1.2,45.0,1.07,51891076909.0,16374453224.0,12.786813320999999,51.0,1.1,25.0,0.31555431491073904,0.0
600.0,40.0,47616.0,1.1,25.0,778.5583333,1200.0,1.2,50.0,1.062,50945334380.0,15274991069.0,12.018545279000001,51.0,1.1,25.0,0.299831010138518,0.0
600.0,40.0,47616.0,1.1,25.0,778.5583333,1200.0,1.4,20.0,0.9540000000000001,50569118907.0,15494521716.0,13.56746728,51.0,1.1,25.0,0.306402841316959,20736.0
600.0,40.0,47616.0,1.1,25.0,778.5583333,1200.0,1.4,25.0,0.946,50843430549.0,15317838469.0,13.5254339,51.0,1.1,25.0,0.30127468393851803,14860.0
600.0,40.0,47616.0,1.1,25.0,778.5583333,1200.0,1.4,30.0,1.041,50756710656.0,15417688437.0,12.381497699,51.0,1.1,25.0,0.303756650849427,12812.0
600.0,40.0,47616.0,1.1,25.0,778.5583333,1200.0,1.4,35.0,1.094,50839948428.0,15699220311.0,11.995269947999999,50.0,1.1,25.0,0.308796936197395,1548.0
600.0,40.0,47616.0,1.1,25.0,778.5583333,1200.0,1.4,40.0,1.08,51060447515.0,17551707307.0,13.573815778,52.0,1.1,25.0,0.34374370302657103,0.0
600.0,40.0,47616.0,1.1,25.0,778.5583333,1200.0,1.4,45.0,1.093,50696537244.0,15902562659.0,12.15396392,51.0,1.1,25.0,0.313681437106083,0.0
600.0,40.0,47616.0,1.1,25.0,778.5583333,1200.0,1.4,50.0,1.143,51972519773.0,16230151762.0,11.863297145999999,51.0,1.1,25.0,0.31228333420985305,0.0
600.0,40.0,47616.0,1.1,25.0,778.5583333,1200.0,1.6,20.0,0.742,51240324168.0,17807000448.0,20.060290406,50.0,1.1,25.0,0.347519277778508,25600.0
600.0,40.0,47616.0,1.1,25.0,778.5583333,1200.0,1.6,25.0,0.9490000000000001,50620150567.0,15345590302.0,13.508432740999998,51.0,1.1,25.0,0.30315181069421804,16640.0
600.0,40.0,47616.0,1.1,25.0,778.5583333,1200.0,1.6,30.0,1.082,50931535738.0,15560441378.0,12.01315562,51.0,1.1,25.0,0.305516830634077,10764.0
600.0,40.0,47616.0,1.1,25.0,778.5583333,1200.0,1.6,35.0,1.1079999999999999,50675911910.0,15919915029.0,12.009871206,52.0,1.1,25.0,0.314151525428365,1548.0
600.0,40.0,47616.0,1.1,25.0,778.5583333,1200.0,1.6,40.0,1.1520000000000001,52185685608.0,18713507843.0,13.567705682,52.0,1.1,25.0,0.358594653399192,0.0
600.0,40.0,47616.0,1.1,25.0,778.5583333,1200.0,1.6,45.0,1.101,50633716403.0,17076246865.0,12.962460647999999,51.0,1.1,25.0,0.337250513651576,0.0
600.0,40.0,47616.0,1.1,25.0,778.5583333,1200.0,1.6,50.0,1.115,50673746549.0,15285549377.0,11.458273915,52.0,1.1,25.0,0.30164632414181797,0.0
600.0,40.0,47616.0,1.1,25.0,778.5583333,1400.0,0.2,20.0,0.196,50709838192.0,15701262518.0,57.319818497,49.0,1.1,25.0,0.30962951328203997,21404.0
600.0,40.0,47616.0,1.1,25.0,778.5583333,1400.0,0.2,25.0,0.19699999999999998,51133475642.0,16129614746.0,58.67797998,49.0,1.1,25.0,0.315441392228606,12032.0
600.0,40.0,47616.0,1.1,25.0,778.5583333,1400.0,0.2,30.0,0.198,50879652257.0,15281975608.0,55.166889036,49.0,1.1,25.0,0.30035534698249605,14336.0
600.0,40.0,47616.0,1.1,25.0,778.5583333,1400.0,0.2,35.0,0.19899999999999998,50653467582.0,15247826991.0,54.817143843000004,49.0,1.1,25.0,0.301022372581228,7692.0
600.0,40.0,47616.0,1.1,25.0,778.5583333,1400.0,0.2,40.0,0.19899999999999998,50640084967.0,15394769279.0,55.284047916000006,48.0,1.1,25.0,0.304003622605138,0.0
600.0,40.0,47616.0,1.1,25.0,778.5583333,1400.0,0.2,45.0,0.19899999999999998,50753717533.0,15282901433.0,54.890077559,48.0,1.1,25.0,0.30111885741301697,0.0
600.0,40.0,47616.0,1.1,25.0,778.5583333,1400.0,0.2,50.0,0.19899999999999998,50800391007.0,15219672736.0,54.687966468,48.0,1.1,25.0,0.299597551009062,0.0
600.0,40.0,47616.0,1.1,25.0,778.5583333,1400.0,0.4,20.0,0.379,51367746932.0,15919710509.0,30.091471791,49.0,1.1,25.0,0.309916464315133,19456.0
600.0,40.0,47616.0,1.1,25.0,778.5583333,1400.0,0.4,25.0,0.382,51047473901.0,15607446234.0,29.292816639,49.0,1.1,25.0,0.305743752654022,15872.0
600.0,40.0,47616.0,1.1,25.0,778.5583333,1400.0,0.4,30.0,0.387,51838133219.0,16930274405.0,31.320038589,49.0,1.1,25.0,0.32659884439655296,14604.0
600.0,40.0,47616.0,1.1,25.0,778.5583333,1400.0,0.4,35.0,0.39899999999999997,50729955164.0,15256414358.0,27.379994976,49.0,1.1,25.0,0.300737785174045,1548.0
600.0,40.0,47616.0,1.1,25.0,778.5583333,1400.0,0.4,40.0,0.4,50749222802.0,15105930941.0,27.077094051,49.0,1.1,25.0,0.297658370058914,0.0
600.0,40.0,47616.0,1.1,25.0,778.5583333,1400.0,0.4,45.0,0.39899999999999997,50525401375.0,15159833341.0,27.186084056,49.0,1.1,25.0,0.300043798335882,0.0
600.0,40.0,47616.0,1.1,25.0,778.5583333,1400.0,0.4,50.0,0.39899999999999997,50727937010.0,15389282936.0,27.596391533000002,49.0,1.1,25.0,0.303368988432671,0.0
600.0,40.0,47616.0,1.1,25.0,778.5583333,1400.0,0.6,20.0,0.5539999999999999,50920622501.0,15563470496.0,20.134556700999998,49.0,1.1,25.0,0.30564179563386795,22528.0
600.0,40.0,47616.0,1.1,25.0,778.5583333,1400.0,0.6,25.0,0.5589999999999999,50750867116.0,15293793675.0,19.598517277,49.0,1.1,25.0,0.30135039151239196,17408.0
600.0,40.0,47616.0,1.1,25.0,778.5583333,1400.0,0.6,30.0,0.585,50586333107.0,15381448795.0,18.833070919,49.0,1.1,25.0,0.30406332798357205,12044.0
600.0,40.0,47616.0,1.1,25.0,778.5583333,1400.0,0.6,35.0,0.6,49410893766.0,14087415536.0,16.809149058,49.0,1.1,25.0,0.285107482627518,0.0
600.0,40.0,47616.0,1.1,25.0,778.5583333,1400.0,0.6,40.0,0.599,52174519271.0,16760302006.0,20.044442529,50.0,1.1,25.0,0.321235389231766,0.0
600.0,40.0,47616.0,1.1,25.0,778.5583333,1400.0,0.6,45.0,0.6,52089782912.0,16465803809.0,19.653427990999997,50.0,1.1,25.0,0.31610428933476603,0.0
600.0,40.0,47616.0,1.1,25.0,778.5583333,1400.0,0.6,50.0,0.6,51021871110.0,15438274850.0,18.417707423,50.0,1.1,25.0,0.30258151091158597,0.0
600.0,40.0,47616.0,1.1,25.0,778.5583333,1400.0,0.8,20.0,0.708,50745677353.0,15616627122.0,15.802095140999999,50.0,1.1,25.0,0.307743002687041,19712.0
600.0,40.0,47616.0,1.1,25.0,778.5583333,1400.0,0.8,25.0,0.728,50776130388.0,15869807867.0,15.607682376,51.0,1.1,25.0,0.312544649340796,12800.0
600.0,40.0,47616.0,1.1,25.0,778.5583333,1400.0,0.8,30.0,0.745,50807380841.0,15531613876.0,14.940512836,51.0,1.1,25.0,0.30569601539992103,14336.0
600.0,40.0,47616.0,1.1,25.0,778.5583333,1400.0,0.8,35.0,0.799,50716227186.0,15237407790.0,13.653070256,51.0,1.1,25.0,0.300444426477492,1548.0
600.0,40.0,47616.0,1.1,25.0,778.5583333,1400.0,0.8,40.0,0.797,50870186788.0,15360499125.0,13.80887947,50.0,1.1,25.0,0.301954840248855,0.0
600.0,40.0,47616.0,1.1,25.0,778.5583333,1400.0,0.8,45.0,0.8,50729067211.0,15015936563.0,13.436403738,52.0,1.1,25.0,0.296002615237206,0.0
600.0,40.0,47616.0,1.1,25.0,778.5583333,1400.0,0.8,50.0,0.799,51803947598.0,16373631868.0,14.674982013,51.0,1.1,25.0,0.31606919216002194,0.0
600.0,40.0,47616.0,1.1,25.0,778.5583333,1400.0,1.0,20.0,0.815,50686074708.0,15233612311.0,13.392963560999998,51.0,1.1,25.0,0.300548274822228,19800.0
600.0,40.0,47616.0,1.1,25.0,778.5583333,1400.0,1.0,25.0,0.846,50783193811.0,15323970294.0,12.978363434,51.0,1.1,25.0,0.301752787566518,15116.0
600.0,40.0,47616.0,1.1,25.0,778.5583333,1400.0,1.0,30.0,0.9359999999999999,50688743063.0,15145944044.0,11.583939375999998,51.0,1.1,25.0,0.298802912220084,13324.0
600.0,40.0,47616.0,1.1,25.0,778.5583333,1400.0,1.0,35.0,0.995,50702956313.0,15198646740.0,10.938821019,51.0,1.1,25.0,0.299758590922698,1548.0
